borough_name,neighborhood_name,bus_route_ids,total_violations,bus_lane_violations,bus_stop_violations,double_parked_violations,avg_speed,avg_total_ridership
Bronx,Soundview-Clason Point,"['BX5', 'BX36']",18126,4309.0,1296.0,12521.0,7.753182045168067,4651104.0
Bronx,Throgs Neck-Schuylerville,['BX5'],111,0.0,35.0,76.0,9.063885970273109,2671906.0
Bronx,Tremont,"['BX36', 'BX19']",51621,0.0,15881.0,35740.0,6.182242202993698,6872269.0
Bronx,University Heights (North)-Fordham,"['BX12+', 'BX28']",67741,44190.0,13896.0,9655.0,8.45932499789916,6238322.0
Bronx,University Heights (South)-Morris Heights,['BX36'],34405,17834.0,4987.0,11584.0,6.442478120063026,6630302.0
Bronx,West Farms,"['BX36', 'BX19', 'Q44+']",26839,0.0,10615.0,16224.0,7.254127717991324,7816849.0
Bronx,Westchester Square,['Q44+'],18,0.0,9.0,9.0,9.397898747986577,9706008.0
Bronx,Williamsbridge-Olinville,"['BX28-BX38', 'BX41+', 'BX28']",5640,1654.0,1867.0,2119.0,8.136487444117648,2698185.0
Bronx,Yankee Stadium-Macombs Dam Park,['BX6+'],391,60.0,312.0,19.0,7.762008419432773,3257221.0
Brooklyn,Bath Beach,['B82+'],2550,0.0,1216.0,1334.0,8.747185855698529,4610798.0
Brooklyn,Bay Ridge,['S79+'],12660,0.0,2658.0,10002.0,14.613236617750985,6089324.0
Brooklyn,Bedford-Stuyvesant (East),"['B25', 'B26', 'B46+']",18841,268.0,14341.0,4232.0,7.261690829969257,4181684.0
Brooklyn,Bedford-Stuyvesant (West),"['B44+', 'B25', 'B26', 'ABLE', 'B46+']",37620,11279.0,19184.0,7157.0,7.674371170680427,4416870.0
Brooklyn,Bensonhurst,['B82+'],5788,0.0,3221.0,2567.0,8.747185855698529,4610798.0
Brooklyn,Borough Park,"['S46', 'B35']",13294,0.0,5618.0,7676.0,8.422701232138479,5414215.0
Brooklyn,Brooklyn Heights,"['B25', 'B41']",1005,0.0,787.0,218.0,6.689187124054621,6691929.0
Brooklyn,Brooklyn Navy Yard,['B62'],254,0.0,52.0,202.0,7.234617428886555,3527343.0
Brooklyn,Brownsville,"['S46', 'B35']",6976,0.0,3935.0,3041.0,8.422701232138479,5414215.0
Brooklyn,Bushwick (East),"['B26', 'Q58']",6627,0.0,5509.0,1118.0,7.324333083455882,9075567.0
Brooklyn,Canarsie,"['B82+', 'B42']",36264,6041.0,17843.0,12380.0,8.248080466819854,2637517.0
Brooklyn,Clinton Hill,"['B25', 'B26', 'B62']",9437,7082.0,1249.0,1106.0,6.89722602745098,3535547.0
Brooklyn,Crown Heights (North),"['ABLE', 'B46+', 'B44+']",24483,13962.0,8165.0,2356.0,8.620212014627661,5294091.0
Brooklyn,Crown Heights (South),"['ABLE', 'B46+', 'B44+']",32214,21590.0,7636.0,2988.0,8.620212014627661,5294091.0
Brooklyn,Cypress Hills,['B25'],3,0.0,0.0,3.0,6.373767801995798,3259700.0
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,"['B25', 'B26', 'B41', 'B62']",35544,10786.0,20253.0,4505.0,6.924071132116596,5182700.0
Brooklyn,East Flatbush-Erasmus,"['S46', 'B35', 'B44+', 'ABLE', 'B41', 'B46+']",48078,5094.0,27202.0,15782.0,8.218086587929145,6308154.0
Brooklyn,East Flatbush-Farragut,"['ABLE', 'B46+', 'B44+']",25396,19749.0,3167.0,2480.0,8.620212014627661,5294091.0
Brooklyn,East Flatbush-Remsen Village,"['S46', 'B35']",15111,0.0,8737.0,6374.0,8.422701232138479,5414215.0
Brooklyn,East Flatbush-Rugby,"['S46', 'B35', 'ABLE', 'B46+']",91438,39209.0,29941.0,22288.0,8.391138100239449,5431394.0
Brooklyn,East New York (North),['B25'],791,0.0,784.0,7.0,6.373767801995798,3259700.0
Brooklyn,East New York-New Lots,['B82+'],988,0.0,254.0,734.0,8.747185855698529,4610798.0
Brooklyn,East Williamsburg,['Q54'],7029,0.0,4999.0,2030.0,7.948510901575631,5409201.0
Brooklyn,Flatbush,"['S46', 'B35', 'B44+', 'ABLE', 'B41']",87313,30403.0,25178.0,31732.0,8.190605275801085,6518754.0
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,"['S46', 'B35']",6649,2375.0,2061.0,2213.0,8.422701232138479,5414215.0
Brooklyn,Flatlands,"['B82+', 'B44+', 'ABLE', 'B41', 'B46+']",72106,24810.0,25151.0,22145.0,8.248054082766824,6330784.0
Brooklyn,Fort Greene,"['B25', 'B26', 'B41', 'B62']",22321,14771.0,6581.0,969.0,6.924071132116596,5182700.0
Brooklyn,Fort Hamilton,['S79+'],31,0.0,0.0,31.0,14.613236617750985,6089324.0
Brooklyn,Gravesend (East)-Homecrest,['B82+'],16939,913.0,9913.0,6113.0,8.747185855698529,4610798.0
Brooklyn,Gravesend (West),['B82+'],26363,1709.0,12815.0,11839.0,8.747185855698529,4610798.0
Brooklyn,Greenpoint,['B62'],2308,0.0,2082.0,226.0,7.234617428886555,3527343.0
Brooklyn,Kensington,"['S46', 'B35']",17641,1373.0,10952.0,5316.0,8.422701232138479,5414215.0
Brooklyn,Madison,"['B82+', 'B44+']",21441,3091.0,9025.0,9325.0,8.829799024256232,4866613.0
Brooklyn,Marine Park-Mill Basin-Bergen Beach,"['B82+', 'B41', 'B46+', 'B44+']",14379,5.0,9204.0,5170.0,8.248054082766824,6330784.0
Brooklyn,Midwood,"['B82+', 'B44+']",13538,64.0,4183.0,9291.0,8.829799024256232,4866613.0
Brooklyn,Ocean Hill,"['B25', 'B26']",3758,0.0,2634.0,1124.0,6.728530326733193,3539649.0
Brooklyn,Park Slope,['B41'],5874,77.0,5331.0,466.0,7.004606446113446,10124158.0
Brooklyn,Prospect Heights,['B41'],4389,0.0,3886.0,503.0,7.004606446113446,10124158.0
Brooklyn,Prospect Lefferts Gardens-Wingate,"['ABLE', 'B41', 'B46+', 'B44+']",18554,5531.0,7104.0,5919.0,8.081676825122921,6904113.0
Brooklyn,Prospect Park,['B41'],1359,0.0,1011.0,348.0,7.004606446113446,10124158.0
Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,['B44+'],9147,80.0,4666.0,4401.0,8.912412192813935,5122428.0
Brooklyn,South Williamsburg,"['B62', 'Q54', 'B44+']",5130,1.0,3380.0,1749.0,8.03184684109204,4686324.0
Brooklyn,Spring Creek-Starrett City,['B82+'],12516,2874.0,8219.0,1423.0,8.747185855698529,4610798.0
Brooklyn,Sunset Park (Central),"['S46', 'B35']",1686,0.0,1063.0,623.0,8.422701232138479,5414215.0
Brooklyn,Sunset Park (East)-Borough Park (West),"['S46', 'B35']",7721,0.0,3183.0,4538.0,8.422701232138479,5414215.0
Brooklyn,Sunset Park (West),"['S46', 'B35']",4099,0.0,2541.0,1558.0,8.422701232138479,5414215.0
Brooklyn,Williamsburg,"['B62', 'Q54', 'B44+']",9998,0.0,8703.0,1295.0,8.03184684109204,4686324.0
Manhattan,Central Park,"['M2', 'M86+', 'M79+', 'ABLE', 'M4']",7235,2800.0,4399.0,36.0,6.4966229996060925,6888650.0
Manhattan,Chelsea-Hudson Yards,"['M14+', 'M42', 'M23+', 'M34+', 'ABLE']",10643,5694.0,4300.0,649.0,5.498198590931373,4839499.0
Manhattan,Chinatown-Two Bridges,['M15+'],23198,386.0,13689.0,9123.0,8.262252518907562,15618761.0
Manhattan,East Harlem (North),"['M15+', 'M60+', 'M101', 'BX19', 'ABLE']",104001,52946.0,32258.0,18797.0,7.9108689817489495,9474248.0
Manhattan,East Harlem (South),"['M15+', 'ABLE', 'M2', 'M101']",70843,34573.0,14242.0,22028.0,7.273940017612045,10054997.0
Manhattan,East Midtown-Turtle Bay,"['M15+', 'ABLE', 'M42', 'M101']",41259,30804.0,9622.0,833.0,6.6468205296218486,10333202.0
Manhattan,East Village,"['M14+', 'M15+', 'M2', 'M101', 'ABLE']",63840,43984.0,16764.0,3092.0,7.273940017612045,10054997.0
Manhattan,Financial District-Battery Park City,['M15+'],30465,0.0,21886.0,8579.0,8.262252518907562,15618761.0
Manhattan,Gramercy,"['M14+', 'M15+', 'M2', 'M101', 'M23+', 'M34+', 'ABLE']",97748,70240.0,16160.0,11348.0,6.630744785651261,7866293.0
Manhattan,Greenwich Village,"['M14+', 'ABLE', 'M2']",3781,1583.0,2120.0,78.0,7.044050361344538,4517409.0
Manhattan,Hamilton Heights-Sugar Hill,"['M101', 'M100', 'BX19', 'BX6+', 'M4']",76170,0.0,26945.0,49225.0,6.5056470318907555,6465285.0
Manhattan,Harlem (North),"['M2', 'BX19', 'BX6+']",32061,0.0,10276.0,21785.0,6.9093550222338935,4962955.0
Manhattan,Harlem (South),"['M60+', 'M101', 'M2', 'M4']",69532,49843.0,17035.0,2654.0,7.6629726086659655,6843263.0
Manhattan,Hell's Kitchen,['M42'],2140,1744.0,305.0,91.0,5.16269189737395,5352023.0
Manhattan,Highbridge Park,"['BX36', 'M101', 'M100', 'M2']",11988,0.0,3606.0,8382.0,6.545531496087185,6352757.0
Manhattan,Inwood,"['BX12+', 'M100']",75103,28367.0,3456.0,43280.0,7.833253797794118,7004155.0
Manhattan,Inwood Hill Park,['M100'],212,0.0,58.0,154.0,6.180080330357143,4234497.0
Manhattan,Lower East Side,"['M14+', 'M15+', 'ABLE']",13916,4708.0,6187.0,3021.0,8.262252518907562,15618761.0
Manhattan,Manhattanville-West Harlem,"['M101', 'M4']",17077,0.0,7277.0,9800.0,6.332070061869748,8860235.0
Manhattan,Midtown South-Flatiron-Union Square,"['M14+', 'M2', 'M23+', 'M34+', 'ABLE', 'M4']",15281,8468.0,6691.0,122.0,6.131144296980041,5343883.0
Manhattan,Midtown-Times Square,"['M42', 'ABLE', 'M2', 'M34+']",9607,5314.0,4278.0,15.0,5.909878904831932,4448074.0
Manhattan,Morningside Heights,"['M60+', 'M101', 'M100', 'M4']",37505,2101.0,7404.0,28000.0,7.4469801009191166,6772535.0
Manhattan,Murray Hill-Kips Bay,"['M15+', 'M101', 'M42', 'M23+', 'M34+', 'ABLE']",78874,47958.0,26100.0,4816.0,6.254473092857143,8033216.0
Manhattan,Stuyvesant Town-Peter Cooper Village,"['M14+', 'M15+', 'M23+', 'M34+', 'ABLE']",4188,3753.0,345.0,90.0,6.5313854647759095,8261745.0
Manhattan,Tribeca-Civic Center,['M15+'],5214,0.0,3506.0,1708.0,8.262252518907562,15618761.0
Manhattan,United Nations,"['M15+', 'ABLE']",5139,4822.0,303.0,14.0,8.262252518907562,15618761.0
Manhattan,Upper East Side-Carnegie Hill,"['M2', 'M86+', 'M79+', 'M101', 'ABLE']",43197,11264.0,19547.0,12386.0,6.588346554963236,7472943.0
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,"['M79+', 'M15+', 'ABLE', 'M101']",109328,79725.0,22442.0,7161.0,7.138704165791316,10519309.0
Manhattan,Upper East Side-Yorkville,"['M15+', 'M86+', 'M79+', 'M101', 'ABLE']",90614,48886.0,22574.0,19154.0,6.892897094353991,10248281.0
Manhattan,Upper West Side (Central),"['M79+', 'ABLE', 'M86+']",32747,3424.0,7203.0,22120.0,6.396909342962185,7672771.0
Manhattan,Upper West Side-Manhattan Valley,"['M60+', 'M4']",3309,0.0,985.0,2324.0,8.546161450367647,6413412.0
Manhattan,Washington Heights (North),"['BX35', 'M101', 'M100', 'BX36', 'M4']",68309,14006.0,24287.0,30016.0,6.205427812142856,6452226.0
Manhattan,Washington Heights (South),"['BX35', 'M2', 'M101', 'M100', 'BX6+', 'BX36', 'M4']",103077,2794.0,33011.0,67272.0,6.547599691641657,5719394.0
Manhattan,West Village,"['M14+', 'ABLE']",3138,1184.0,1781.0,173.0,,
Queens,Astoria (Central),"['Q69', 'M60+']",245,71.0,77.0,97.0,9.243093613554798,5144106.0
Queens,Astoria (East)-Woodside (North),['M60+'],1710,0.0,1359.0,351.0,10.943699949579832,5135174.0
Queens,Astoria (North)-Ditmars-Steinway,"['Q69', 'M60+']",11647,11.0,5163.0,6473.0,9.243093613554798,5144106.0
Queens,Baisley Park,['Q5'],2441,254.0,2067.0,120.0,8.87736410922619,5075025.0
Queens,Bellerose,['Q43'],1958,0.0,1762.0,196.0,9.269227604166666,5884928.0
Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,['Q53+'],1488,117.0,959.0,412.0,11.803766093452381,6826571.0
Queens,College Point,['Q44+'],9,0.0,0.0,9.0,9.397898747986577,9706008.0
Queens,Corona,['Q58'],20614,0.0,11394.0,9220.0,7.565373315441176,14331535.0
Queens,East Elmhurst,['M60+'],4206,0.0,3060.0,1146.0,10.943699949579832,5135174.0
Queens,Elmhurst,"['Q53+', 'Q58']",28483,1461.0,18598.0,8424.0,9.68456970444678,10579053.0
Queens,Flushing Meadows-Corona Park,['Q58'],390,0.0,165.0,225.0,7.565373315441176,14331535.0
Queens,Flushing-Willets Point,"['Q58', 'Q44+']",49006,20854.0,18176.0,9976.0,8.481636031713876,12018771.0
Queens,Forest Hills,['Q54'],2405,0.0,2361.0,44.0,7.948510901575631,5409201.0
Queens,Forest Park,"['Q53+', 'Q54']",218,98.0,100.0,20.0,9.876138497514006,6117886.0
Queens,Glen Oaks-Floral Park-New Hyde Park,['Q43'],992,0.0,679.0,313.0,9.269227604166666,5884928.0
Queens,Glendale,"['Q53+', 'Q54']",2088,1217.0,794.0,77.0,9.876138497514006,6117886.0
Queens,Hollis,['Q43'],5720,3037.0,2169.0,514.0,9.269227604166666,5884928.0
Queens,Howard Beach-Lindenwood,['Q53+'],7059,0.0,5384.0,1675.0,11.803766093452381,6826571.0
Queens,Jackson Heights,"['Q69', 'M60+']",315,0.0,69.0,246.0,9.243093613554798,5144106.0
Queens,Jamaica,"['Q43', 'Q5', 'Q54', 'Q44+']",151976,79411.0,59360.0,13205.0,8.873250340738766,6518790.0
Queens,Jamaica Bay (East),['Q53+'],13,0.0,10.0,3.0,11.803766093452381,6826571.0
Queens,Jamaica Estates-Holliswood,['Q43'],14447,6014.0,6086.0,2347.0,9.269227604166666,5884928.0
Queens,Jamaica Hills-Briarwood,"['Q43', 'Q54', 'Q44+']",31215,4195.0,11826.0,15194.0,8.87187908457629,7000046.0
Queens,Kew Gardens,['Q54'],2535,0.0,2068.0,467.0,7.948510901575631,5409201.0
Queens,Kew Gardens Hills,['Q44+'],10401,0.0,7851.0,2550.0,9.397898747986577,9706008.0
Queens,LaGuardia Airport,['M60+'],684,0.0,637.0,47.0,10.943699949579832,5135174.0
Queens,Laurelton,['Q5'],4980,0.0,3349.0,1631.0,8.87736410922619,5075025.0
Queens,Long Island City-Hunters Point,"['Q69', 'B62']",3874,0.0,2909.0,965.0,7.3885523532081585,4340191.0
Queens,Maspeth,"['Q54', 'Q58']",22146,0.0,15629.0,6517.0,7.756942108508404,9870368.0
Queens,Middle Village,"['Q53+', 'Q54']",5234,919.0,3761.0,554.0,9.876138497514006,6117886.0
Queens,Middle Village Cemetery,['Q54'],136,0.0,131.0,5.0,7.948510901575631,5409201.0
Queens,Mount Hebron & Cedar Grove Cemeteries,['Q44+'],480,0.0,477.0,3.0,9.397898747986577,9706008.0
Queens,Mount Olivet & All Faiths Cemeteries,['Q54'],341,0.0,332.0,9.0,7.948510901575631,5409201.0
Queens,Murray Hill-Broadway Flushing,['Q44+'],2014,0.0,1115.0,899.0,9.397898747986577,9706008.0
Queens,Old Astoria-Hallets Point,['Q69'],961,232.0,547.0,182.0,7.542487277529762,5153038.0
Queens,Ozone Park,['Q53+'],3506,1947.0,1471.0,88.0,11.803766093452381,6826571.0
Queens,Ozone Park (North),['Q53+'],83,80.0,3.0,0.0,11.803766093452381,6826571.0
Queens,Queens Village,['Q43'],1219,0.0,824.0,395.0,9.269227604166666,5884928.0
Queens,Queensboro Hill,"['Q58', 'Q44+']",4983,2569.0,1415.0,999.0,8.481636031713876,12018771.0
Queens,Queensbridge-Ravenswood-Dutch Kills,['Q69'],1958,991.0,853.0,114.0,7.542487277529762,5153038.0
Queens,Rego Park,"['Q53+', 'Q54']",2277,363.0,1849.0,65.0,9.876138497514006,6117886.0
Queens,Richmond Hill,['Q54'],4024,0.0,3551.0,473.0,7.948510901575631,5409201.0
Queens,Ridgewood,"['B26', 'Q54', 'Q58']",33253,6892.0,24521.0,1840.0,7.5323923561624655,7853445.0
Queens,Rockaway Beach-Arverne-Edgemere,['Q53+'],526,279.0,229.0,18.0,11.803766093452381,6826571.0
Queens,Rosedale,['Q5'],312,0.0,217.0,95.0,8.87736410922619,5075025.0
Queens,South Jamaica,['Q5'],11396,2955.0,7042.0,1399.0,8.87736410922619,5075025.0
Queens,Spring Creek Park,['Q53+'],27,0.0,0.0,27.0,11.803766093452381,6826571.0
Queens,Springfield Gardens (North)-Rochdale Village,['Q5'],1876,420.0,1405.0,51.0,8.87736410922619,5075025.0
Queens,St. Albans,['Q5'],4262,688.0,3258.0,316.0,8.87736410922619,5075025.0
Queens,St. John Cemetery,"['Q53+', 'Q54']",509,51.0,344.0,114.0,9.876138497514006,6117886.0
Queens,Whitestone-Beechhurst,['Q44+'],1748,0.0,1418.0,330.0,9.397898747986577,9706008.0
Queens,Woodhaven,['Q53+'],197,44.0,127.0,26.0,11.803766093452381,6826571.0
Queens,Woodside,['Q53+'],5283,0.0,4019.0,1264.0,11.803766093452381,6826571.0
Staten Island,Freshkills Park (North),['S79+'],5,3.0,1.0,1.0,14.613236617750985,6089324.0
Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,['S79+'],3490,2233.0,1149.0,108.0,14.613236617750985,6089324.0
Staten Island,Great Kills Park,['S79+'],56,44.0,9.0,3.0,14.613236617750985,6089324.0
Staten Island,Great Kills-Eltingville,['S79+'],3524,245.0,3043.0,236.0,14.613236617750985,6089324.0
Staten Island,Mariner's Harbor-Arlington-Graniteville,['S46'],1835,0.0,1784.0,51.0,11.10885125282738,1421214.0
Staten Island,New Dorp-Midland Beach,['S79+'],951,448.0,474.0,29.0,14.613236617750985,6089324.0
Staten Island,New Springville-Willowbrook-Bulls Head-Travis,"['S46', 'S79+']",222,57.0,104.0,61.0,12.861043935289182,3755269.0
Staten Island,Oakwood-Richmondtown,['S79+'],280,174.0,98.0,8.0,14.613236617750985,6089324.0
Staten Island,Port Richmond,['S46'],1547,0.0,1396.0,151.0,11.10885125282738,1421214.0
Staten Island,Rosebank-Shore Acres-Park Hill,['S79+'],121,0.0,60.0,61.0,14.613236617750985,6089324.0
Staten Island,St. George-New Brighton,['S46'],5851,3125.0,1926.0,800.0,11.10885125282738,1421214.0
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,['S79+'],19,18.0,0.0,1.0,14.613236617750985,6089324.0
Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,['S46'],1545,571.0,973.0,1.0,11.10885125282738,1421214.0
Staten Island,West New Brighton-Silver Lake-Grymes Hill,['S46'],1607,196.0,1319.0,92.0,11.10885125282738,1421214.0
